,0,1,size
297,114.4,CD,1
298,115,CD,1
299,"115,000-square-foot",JJ,1
300,116.56,CD,1
301,116.8,CD,1
302,119,CD,1
303,119.88,CD,1
304,11:54,CD,1
305,11:59,CD,1
306,11\/16,CD,9
307,11\/32,CD,1
308,11th,JJ,1
309,11th-hour,JJ,1
310,12,CD,59
311,"12,017,724",CD,1
312,"12,092",CD,1
313,"12,283,217",CD,1
314,"12,500",CD,1
315,"12,500,000",CD,1
316,"12,591",CD,1
317,"12,822,563",CD,1
318,12-county,JJ,1
319,12-month,JJ,4
320,12-year,JJ,1
321,12.1,CD,1
322,12.3,CD,2
323,12.375,CD,1
324,12.4,CD,1
325,12.48,CD,1
326,12.5,CD,6
327,12.50,CD,1
328,12.6,CD,1
329,12.7,CD,2
330,12.75,CD,1
331,12.8,CD,1
332,12.9,CD,3
333,12.94,CD,1
334,120,CD,5
335,"120,000",CD,1
336,120-day,JJ,1
337,120.1,CD,1
338,121,CD,1
339,122,CD,1
340,122.4,CD,1
341,123,CD,2
342,1230.80,CD,1
343,1247.87,CD,1
344,125,CD,3
345,125-billion-a-year,NNP,1
346,125.7,CD,1
347,1263.51,CD,1
348,127.5,CD,1
349,128,CD,1
350,128.1,CD,1
351,129,CD,1
352,129.6,CD,1
353,129.62,CD,1
354,12:01,CD,1
355,12:06,CD,1
356,12:07,CD,1
357,12:15,CD,1
358,12:38,CD,1
359,12:48,CD,1
360,12:54,CD,1
361,13,CD,34
362,"13,000",CD,1
363,"13,120",CD,1
364,"13,865,000",CD,1
365,13.1,CD,5
366,13.2,CD,1
367,13.32,CD,1
368,13.35,CD,2
369,13.4,CD,4
370,13.5,CD,2
371,13.50,CD,2
372,13.6,CD,1
373,13.625,CD,1
374,13.64,CD,1
375,13.7,CD,1
376,13.75,CD,2
377,13.8,CD,2
378,130,CD,6
379,"130,000",CD,2
380,130-unit,JJ,1
381,130.13,CD,1
382,130.46,CD,1
383,130.875,CD,1
384,"131,146",CD,1
385,131.3,CD,1
386,131.34,CD,1
387,132,CD,1
388,134,CD,2
389,"134,000",CD,1
390,134.2,CD,1
391,134.8,CD,1
392,135.09,CD,1
393,136,CD,1
394,136.4,CD,1
395,137,CD,2
396,137.4,CD,1
397,139,CD,1
398,13D,CD,1
399,13th,JJ,2
400,14,CD,25
401,"14,000",CD,1
402,"14,580,000",CD,1
403,14-point,JJ,1
404,14-year-old,JJ,2
405,14.06,CD,1
406,14.2,CD,1
407,14.25,CD,1
408,14.3,CD,3
409,14.4,CD,1
410,14.5,CD,1
411,14.6,CD,4
412,14.7,CD,1
413,14.8,CD,1
414,14.99,CD,1
415,140,CD,7
416,"140,000",CD,1
417,140.1,CD,1
418,"141,903",CD,1
419,141.35,CD,1
420,141.45,CD,3
421,141.55,CD,1
422,141.70,CD,4
423,141.93,CD,1
424,141.95,CD,1
425,142,CD,3
426,"142,117",CD,1
427,142.43,CD,2
428,142.75,CD,1
429,"143,178",CD,1
430,144.1,CD,1
431,144.5,CD,1
432,"145,954",CD,1
433,145.4,CD,1
434,146,CD,2
435,146.8,CD,1
436,148,CD,2
437,"148,000",CD,1
438,14th,JJ,1
439,15,CD,93
440,"15,000",CD,8
441,"15,261",CD,1
442,15-month,JJ,1
443,15-year,JJ,1
444,15.02,CD,1
445,15.09,CD,1
446,15.1,CD,2
447,15.125,CD,1
448,15.2,CD,1
449,15.25,CD,1
450,15.3,CD,2
451,15.4,CD,1
452,15.50,CD,1
453,15.6,CD,2
454,15.64,CD,1
455,15.72,CD,1
456,15.75,CD,2
457,15.8,CD,1
458,15.80,CD,1
459,150,CD,19
460,"150,000",CD,4
461,"150,000-barrel-a-day",JJ,1
462,150-plus,JJ,1
463,150.3,CD,1
464,150.7,CD,1
465,150.8,CD,1
466,153,CD,1
467,153.9,CD,1
468,154,CD,2
469,154.05,CD,1
470,155.3,CD,1
471,155.4,CD,1
472,156.7,CD,1
473,157.8,CD,1
474,15\/16,CD,1
475,16,CD,22
476,16%-owned,JJ,1
477,"16,000",CD,1
478,"16,250",CD,1
479,"16,500",CD,1
480,"16,746",CD,1
481,16-story,JJ,1
482,16.22,CD,1
483,16.4,CD,2
484,16.5,CD,1
485,16.59,CD,1
486,16.6,CD,2
487,16.625,CD,1
488,16.66,CD,1
489,16.9,CD,2
490,160,CD,5
491,"160,000",CD,1
492,161-day,JJ,1
493,161.1,CD,1
494,"162,000",CD,1
495,"162,190",CD,1
496,163-member,NNP,1
497,"164,830,000",CD,1
498,165,CD,2
499,"166,900,000",CD,1
500,166.4,CD,1
501,166.9,CD,2
502,167,CD,2
503,168,CD,3
504,168.50,CD,1
505,169.28,CD,1
506,16th,JJ,1
507,17,CD,26
508,"17,000",CD,1
509,17-member,JJ,1
510,17.2,CD,3
511,17.3,CD,1
512,17.4,CD,1
513,17.47,CD,1
514,17.5,CD,1
515,17.73,CD,1
516,170,CD,5
517,170.4,CD,1
518,170.65,CD,1
519,172,CD,2
520,173.5,CD,1
521,174.5,CD,1
522,175,CD,1
523,1758.5,CD,1
524,1761.0,CD,1
525,177.4,CD,1
526,177.5,CD,1
527,1772.1,CD,1
528,178,CD,2
529,178.0,CD,1
530,179,CD,2
531,18,CD,27
532,"18,000",CD,2
533,18-story,NNP,1
534,18.1,CD,1
535,18.11,CD,1
536,18.125,CD,1
537,18.2,CD,1
538,18.3,CD,1
539,18.4,CD,1
540,18.5,CD,3
541,18.50,CD,1
542,18.6,CD,1
543,18.7,CD,2
544,18.73,CD,1
545,18.95,CD,1
546,180,CD,5
547,180.9,CD,1
548,181,CD,1
549,181.9,CD,1
550,182.1,CD,1
551,"183,467",CD,1
552,184,CD,2
553,1845,CD,1
554,186,CD,1
555,"186,000",CD,1
556,188,CD,1
557,188.7,CD,1
558,189.32,CD,1
559,1890s,CD,1
560,18th-century,JJ,1
561,19,CD,28
562,"19,395",CD,1
563,19.2,CD,3
564,19.50,CD,2
565,19.6,CD,2
566,19.60,CD,1
567,19.625,CD,1
568,19.7,CD,3
569,19.8,CD,1
570,19.93,CD,1
571,19.98,CD,1
572,190,CD,6
573,190-point,JJ,2
574,190.1,CD,1
575,190.125,CD,1
576,190.3,CD,1
577,190.58,CD,1
578,190.58-point,JJ,3
579,1900,CD,1
580,1906,CD,7
581,1908,CD,1
582,191,CD,1
583,191.1,CD,1
584,191.2,CD,1
585,191.75,CD,1
586,1915-1923,CD,1
587,192.5,CD,1
588,1929,CD,2
589,193.3,CD,1
590,1930s,CD,2
591,1932,CD,2
592,1934,CD,1
593,1937,CD,1
594,1938,CD,1
595,1942,CD,2
596,1947,CD,2
597,1948,CD,1
598,1949,CD,1
599,1950,CD,3
600,1950s,CD,2
601,1951,CD,1
602,1953,CD,2
603,1957,CD,2
604,1958,CD,3
605,1959,CD,2
606,196,CD,2
607,"196,785",CD,1
608,196.7,CD,1
609,1960,CD,3
610,1960s,CD,2
611,1961,CD,1
612,1962,CD,1
613,1963,CD,1
614,1965,CD,1
615,1966,CD,1
616,1969,CD,3
617,197,CD,1
618,1970,CD,1
619,1970s,NNS,8
620,1971,CD,6
621,1972,CD,5
622,1973,CD,8
623,1974,CD,8
624,1975,CD,3
625,1976,CD,2
626,1977,CD,3
627,1978,CD,5
628,1979,CD,6
629,1979-80,CD,2
630,198,CD,1
631,"198,120,000",CD,2
632,198.1,CD,1
633,198.41,CD,1
634,1980,CD,14
635,1980s,CD,14
636,1981,CD,5
637,1982,CD,13
638,1982-83,CD,2
639,1983,CD,8
640,1983-1987,CD,1
641,1984,CD,14
642,1984-85,CD,1
643,1985,CD,15
644,1986,CD,25
645,1986-87,CD,1
646,1987,CD,65
647,1987-88,CD,2
648,1988,CD,97
649,1989,CD,72
650,1989-1990,CD,1
651,1989-83,CD,1
652,1989-84,CD,1
653,199.7,CD,1
654,1990,CD,55
655,1990-2000,CD,1
656,1990s,CD,8
657,1991,CD,8
658,1991-1996,CD,1
659,19912000,CD,1
660,1992,CD,23
661,1993,CD,6
662,1994,CD,12
663,1995,CD,7
664,1996,CD,3
665,1997,CD,1
666,1997-2000,CD,1
667,1998,CD,3
668,1999,CD,8
669,19\/32,CD,1
670,1:00,CD,1
671,1:11,CD,2
672,1:20,CD,1
673,1\/2,CD,54
674,1\/2-mile,JJ,1
675,1\/2-year,JJ,3
676,1\/32,CD,1
677,1\/4,CD,47
678,1\/8,CD,26
679,2,CD,74
680,"2,000",CD,8
681,"2,002",CD,1
682,"2,010",CD,1
683,"2,064",CD,1
684,"2,070",CD,1
685,"2,120",CD,2
686,"2,157,656",CD,1
687,"2,202,000",CD,1
688,"2,204.62",CD,1
689,"2,205,000",CD,1
690,"2,360",CD,1
691,"2,387,226",CD,1
692,"2,400",CD,1
693,"2,472",CD,1
694,"2,480",CD,1
695,"2,490",CD,1
696,"2,500",CD,1
697,"2,610",CD,1
698,"2,660",CD,1
699,"2,664,098",CD,1
700,"2,700",CD,2
701,"2,840",CD,1
702,"2,850,000",CD,1
703,"2,890",CD,1
704,"2,940",CD,1
705,"2,960",CD,1
706,2-for-1,JJ,2
707,2-to-1,JJ,1
708,2.01,CD,1
709,2.02,CD,3
710,2.03,CD,1
711,2.04,CD,1
712,2.06,CD,1
713,2.08,CD,1
714,2.09,CD,1
715,2.1,CD,7
716,2.12,CD,1
717,2.125,CD,2
718,2.16,CD,1
719,2.2,CD,9
720,2.23,CD,1
721,2.25,CD,3
722,2.26,CD,2
723,2.29,CD,1
724,2.3,CD,7
725,2.33,CD,1
726,2.375,CD,1
727,2.4,CD,9
728,2.40,CD,2
729,2.41,CD,1
730,2.44,CD,1
731,2.46,CD,1
732,2.5,CD,21
733,2.5-ton,JJ,1
734,2.50,CD,1
735,2.51,CD,1
736,2.52,CD,1
737,2.53,CD,1
738,2.55,CD,1
739,2.58,CD,1
740,2.59,CD,1
741,2.6,CD,9
742,2.61,CD,2
743,2.625,CD,1
744,2.65,CD,1
745,2.66,CD,1
746,2.69,CD,1
747,2.7,CD,7
748,2.70,CD,1
749,2.73,CD,2
750,2.74,CD,1
751,2.75,CD,6
752,2.77,CD,1
753,2.78,CD,1
754,2.79,CD,1
755,2.8,CD,5
756,2.85,CD,1
757,2.9,CD,3
758,2.90,CD,1
759,2.91,CD,1
760,2.94,CD,1
761,2.9428,CD,1
762,2.9429,CD,1
763,2.9495,CD,1
764,20,CD,77
765,20%-a-year,VB,1
766,20%-plus,NN,1
767,"20,000",CD,2
768,20-mile,JJ,1
769,20-stock,JJ,1
770,20-year,JJ,4
771,20.,CD,1
772,20.125,CD,1
773,20.25,CD,1
774,20.3,CD,1
775,20.4,CD,1
776,20.42,CD,2
777,20.5,CD,1
778,200,CD,29
779,"200,000",CD,2
780,200.2,CD,1
781,2000,CD,2
782,2001,CD,2
783,2003,CD,3
784,2003\/2007,CD,2
785,2005,CD,3
786,2006,CD,2
787,2007,CD,1
788,2009,CD,4
789,"201,028",CD,1
790,2010,CD,4
791,2012,CD,2
792,2013,CD,1
793,2014,CD,1
794,2018,CD,2
795,2019,CD,1
796,204.5,CD,1
797,205,CD,1
798,205.3,CD,1
799,206,CD,1
800,207,CD,2
801,208.8,CD,1
802,20s,CD,1
803,20th,JJ,2
804,20th,NNP,1
805,21,CD,26
806,21.03,CD,1
807,21.125,CD,1
808,21.23,CD,1
809,21.3,CD,2
810,21.33,CD,1
811,21.4,CD,1
812,21.5,CD,3
813,21.6,CD,1
814,21.625,CD,1
815,21.7,CD,4
816,21.8,CD,1
817,21.9,CD,1
818,21.98,CD,1
819,210,CD,2
820,210.3,CD,1
821,"211,666",CD,1
822,"213,000",CD,1
823,215,CD,1
824,"215,845",CD,1
825,215.42,CD,1
826,215.48,CD,1
827,217,CD,1
828,217.5,CD,1
829,2170.1,CD,1
830,2176.9,CD,1
831,2179.1,CD,1
832,2189,CD,1
833,2189.3,CD,1
834,22,CD,27
835,"22,000",CD,2
836,"22,300",CD,1
837,22.25,CD,1
838,22.5,CD,1
839,22.6,CD,2
840,22.78,CD,2
841,22.9,CD,1
842,220,CD,4
843,221,CD,1
844,222,CD,1
845,222.8,CD,1
846,223,CD,1
847,223.2,CD,1
848,2233.9,CD,1
849,224,CD,1
850,224.1,CD,2
851,225,CD,6
852,228,CD,1
853,229,CD,1
854,22\/32,CD,1
855,23,CD,13
856,23-5,JJ,1
857,23.25,CD,1
858,23.34,CD,1
859,23.5,CD,1
860,23.53,CD,1
861,23.625,CD,1
862,23.9,CD,1
863,230,CD,3
864,230-a-share,JJ,1
865,232.3,CD,1
866,232.6,CD,1
867,"233,000",CD,1
868,235,CD,1
869,24,CD,31
870,"24,891",CD,1
871,24.25,CD,1
872,24.8,CD,1
873,24.9,CD,2
874,240,CD,2
875,240.8,CD,1
876,242,CD,1
877,244,CD,1
878,"244,000",CD,1
879,244.6,CD,1
880,247,CD,2
881,247.6,CD,1
882,249.5,CD,1
883,24th,NN,1
884,24th-largest,JJ,1
885,25,CD,58
886,"25,000",CD,3
887,25-cent-a-share,JJ,1
888,25.4,CD,1
889,25.5,CD,1
890,25.50,CD,1
891,25.8,CD,2
892,250,CD,7
893,"250,000",CD,5
894,250-megawatt,JJ,1
895,250.80,CD,1
896,251,CD,1
897,251.2,CD,1
898,252,CD,1
899,254,CD,1
900,"255,923",CD,1
901,255.8,CD,1
902,257,CD,1
903,257.8,CD,1
904,258.4,CD,1
905,25\/32,CD,2
906,26,CD,11
907,26-man,NNP,1
908,26.48,CD,1
909,26.7,CD,1
910,26.8,CD,1
911,26.81,CD,1
912,26.9,CD,1
913,"263,684",CD,1
914,2642.88,CD,1
915,2643.65,CD,2
916,266.2,CD,2
917,266.66,CD,2
918,2665.66,CD,1
919,267,CD,1
920,2679.72,CD,1
921,268.98,CD,1
922,2683.20,CD,5
923,2689.14,CD,2
924,269,CD,1
925,26\/32,CD,2
926,27,CD,16
927,"27,225",CD,1
928,27.8,CD,2
929,27.9,CD,1
930,270,CD,3
931,271,CD,2
932,273,CD,3
933,273.9,CD,1
934,"274,475",CD,1
935,"276,334",CD,1
936,278.7,CD,1
937,28,CD,20
938,"28,000",CD,1
939,28-pence,JJ,1
940,28.125,CD,1
941,28.25,CD,1
942,28.55,CD,1
943,28.6,CD,2
944,28.625,CD,1
945,28.75,CD,1
946,28.8,CD,1
947,282,CD,1
948,285,CD,1
949,288,CD,1
950,289,CD,2
951,28\/32,CD,1
952,29,CD,21
953,29.25,CD,1
954,29.4,CD,1
955,29.7,CD,3
956,29.8,CD,1
957,290,CD,1
958,"291,890",CD,1
959,293,CD,2
960,293.9,CD,1
961,294,CD,1
962,295.7,CD,1
963,"297,446",CD,1
964,298,CD,1
965,"299,000",CD,1
966,29\/32,CD,4
967,2\/32,CD,1
968,3,CD,60
969,"3,000",CD,3
970,"3,300",CD,1
971,"3,363,949",CD,1
972,"3,383,477",CD,1
973,"3,390",CD,1
974,"3,500",CD,1
975,"3,513,072",CD,1
976,"3,524,000",CD,1
977,"3,800-man",JJ,1
978,"3,820,634",CD,1
979,"3,855.60",CD,1
980,"3,950",CD,1
981,3-type,JJ,1
982,3.01,CD,1
983,3.03,CD,2
984,3.04,CD,1
985,3.06,CD,1
986,3.08,CD,1
987,3.09,CD,1
988,3.1,CD,4
989,3.125,CD,1
990,3.13,CD,3
991,3.16,CD,3
992,3.18,CD,1
993,3.19,CD,1
994,3.2,CD,2
995,3.23,CD,1
996,3.25,CD,4
997,3.3,CD,9
998,3.31,CD,2
999,3.34,CD,1
1000,3.35,CD,2
1001,3.36,CD,1
1002,3.38,CD,1
1003,3.4,CD,4
1004,3.41,CD,1
1005,3.46,CD,1
1006,3.48,CD,1
1007,3.5,CD,17
1008,3.5-inch,CD,1
1009,3.53,CD,1
1010,3.55,CD,1
1011,3.6,CD,3
1012,3.60,CD,1
1013,3.65,CD,2
1014,3.68,CD,1
1015,3.7,CD,6
1016,3.75,CD,1
1017,3.8,CD,5
1018,3.80,CD,1
1019,3.83,CD,1
1020,3.846,CD,1
1021,3.85,CD,1
1022,3.86,CD,1
1023,3.865,CD,1
1024,3.9,CD,5
1025,3.91,CD,1
1026,3.92,CD,1
1027,3.97,CD,1
1028,3.98,CD,1
1029,30,CD,100
1030,"30,000",CD,2
1031,30-day,JJ,4
1032,30-pound,JJ,1
1033,30-share,JJ,3
1034,30-year,JJ,10
1035,30-year,NNP,1
1036,30-year-old,NNP,1
1037,30.7,CD,1
1038,300,CD,18
1039,"300,000",CD,2
1040,300-a-share,JJ,5
1041,300-day,JJ,2
1042,304,CD,1
1043,306.6,CD,1
1044,307,CD,1
1045,309.3,CD,1
1046,3090,CD,1
1047,3090s,CD,1
1048,30\/32,CD,1
1049,30th,JJ,1
1050,31,CD,41
1051,31-year-old,JJ,1
1052,31.2,CD,2
1053,31.25,CD,1
1054,31.3,CD,1
1055,31.6,CD,1
1056,31.65,CD,1
1057,31.8,CD,1
1058,31.875,CD,1
1059,31.9,CD,1
1060,311.6,CD,1
1061,314,CD,1
1062,"315,000",CD,2
1063,315.5,CD,1
1064,318,CD,1
1065,318.6,CD,1
1066,318.7,CD,1
1067,319,CD,1
1068,"319,000",CD,1
1069,31\/32,CD,1
1070,32,CD,14
1071,"32,000",CD,1
1072,"32,191",CD,1
1073,32-bit,JJ,1
1074,32.125,CD,1
1075,32.50,CD,1
1076,32.6,CD,1
1077,32.71,CD,1
1078,32.8,CD,1
1079,"320,000",CD,1
1080,320.5,CD,1
1081,320.54,CD,1
1082,321,CD,1
1083,323.4,CD,1
1084,324,CD,1
1085,325,CD,3
1086,329,CD,1
1087,33,CD,17
1088,"33,000",CD,1
1089,33-year-old,JJ,1
1090,33-year-old,NNP,1
1091,33.25,CD,1
1092,33.375,CD,1
1093,33.75,CD,1
1094,331.8,CD,1
1095,333.3,CD,1
1096,"334,000",CD,1
1097,336,CD,1
1098,338,CD,1
1099,3392.49,CD,1
1100,3398.65,CD,1
1101,34,CD,12
1102,"34,000",CD,2
1103,34-floor,JJ,1
1104,34.2,CD,1
1105,34.5,CD,1
1106,34.6,CD,1
1107,34.9,CD,1
1108,340B,CD,1
1109,341.76,CD,1
1110,344,CD,1
1111,345-47,JJ,1
1112,345-47,NN,1
1113,345.5,CD,1
1114,347.13,CD,1
1115,348.4,CD,1
1116,35,CD,24
1117,"35,000",CD,3
1118,35-year-old,JJ,1
1119,35.2,CD,1
1120,35.4,CD,1
1121,35.50,CD,1
1122,35.875,CD,1
1123,350,CD,3
1124,"350,000",CD,1
1125,351.3,CD,1
1126,35107.56,CD,1
1127,35242.65,CD,1
1128,35374.22,CD,1
1129,35486.38,CD,1
1130,355,CD,1
1131,35544.87,CD,1
1132,35588.36,CD,1
1133,356,CD,1
1134,356.1,CD,1
1135,35611.38,CD,1
1136,357,CD,1
1137,357.2,CD,1
1138,36,CD,15
1139,"36,015,194",CD,1
1140,36.4,CD,1
1141,36.50,CD,2
1142,36.6,CD,1
1143,360-day,JJ,1
1144,360.1,CD,1
1145,365-day,JJ,1
1146,366.50,CD,1
1147,366.85,CD,1
1148,367.10,CD,1
1149,367.30,CD,1
1150,368,CD,3
1151,368.4,CD,1
1152,37,CD,9
1153,"37,300",CD,1
1154,37.1,CD,2
1155,37.5,CD,6
1156,37.50,CD,1
1157,37.75,CD,1
1158,370.60,CD,1
1159,3717.46,CD,1
1160,375,CD,2
1161,375.9,CD,1
1162,378.07,CD,1
1163,38,CD,10
1164,38-cents-a-share,JJ,1
1165,38.5,CD,2
1166,38.7,CD,2
1167,38.8,CD,2
1168,382.81,CD,1
1169,382.9,CD,1
1170,385,CD,1
1171,386,CD,3
1172,"386,000",CD,1
1173,387.4,CD,1
1174,39,CD,9
1175,"39,000",CD,2
1176,"39,400",CD,1
1177,39-year-old,NNP,1
1178,39.08,CD,1
1179,39.2,CD,1
1180,39.55,CD,5
1181,39.8,CD,1
1182,390,CD,1
1183,390-million,CD,1
1184,392,CD,1
1185,393,CD,1
1186,393.1,CD,1
1187,394.4,CD,1
1188,"396,000",CD,1
1189,"398,000",CD,1
1190,3:25,CD,2
1191,3M,CD,1
1192,3\/16,CD,1
1193,3\/4,CD,47
1194,3\/8,CD,33
1195,4,CD,41
1196,"4,000",CD,2
1197,"4,170",CD,1
1198,"4,320",CD,1
1199,"4,346",CD,1
1200,"4,400",CD,1
1201,"4,469,167",CD,1
1202,"4,500",CD,1
1203,"4,600",CD,1
1204,"4,930",CD,1
1205,4-for-1,JJ,1
1206,4.01,CD,1
1207,4.05,CD,1
1208,4.060,CD,1
1209,4.065,CD,1
1210,4.07,CD,3
1211,4.1,CD,2
1212,4.10,CD,1
1213,4.2,CD,5
1214,4.2-ton,VB,1
1215,4.23,CD,1
1216,4.3,CD,2
1217,4.31,CD,1
1218,4.4,CD,5
1219,4.46,CD,1
1220,4.47,CD,1
1221,4.48,CD,1
1222,4.49,CD,1
1223,4.5,CD,13
1224,4.50,CD,1
1225,4.52,CD,1
1226,4.6,CD,11
1227,4.66,CD,1
1228,4.68,CD,2
1229,4.7,CD,6
1230,4.74,CD,1
1231,4.75,CD,2
1232,4.76,CD,1
1233,4.8,CD,3
1234,4.80,CD,1
1235,4.84-a-share,CD,1
1236,4.875,CD,3
1237,4.88,CD,1
1238,4.9,CD,1
